sep=|
start:0,3|end:0,4|step:0,01|repetitions:1000|weightsLimit:1|learningRate:0,2|stepFunction:Unipolar|inputsCount:2|verbose:False
n|adaline threshold|min epochs|max epochs|avg epochs|final error
1|0,3|0|0|0|0,386495145237524
2|0,31|0|0|0|0,390059742914351
3|0,32|0|0|0|0,379637867449335
4|0,33|15|181|49|0,396221296452851
5|0,34|11|134|31|0,387799741165387
6|0,35|9|54|22|0,39382457233634
7|0,36|7|50|19|0,408051469244459
8|0,37|6|30|17|0,3803826364669
9|0,38|4|26|15|0,350644090068386
10|0,39|3|23|14|0,429370592965324

