sep=|
start:0|end:1|step:0,1|repetitions:1000|weightsLimit:1|learningRate:0,2|stepFunction:Unipolar|inputsCount:2|verbose:False
n|adaline threshold|min epochs|max epochs|avg epochs|final error
1|0|0|0|0|0,37013979987461
2|0,1|0|0|0|0,368851722093095
3|0,2|0|0|0|0,381411584062731
4|0,3|0|0|0|0,376053820701958
5|0,4|3|21|13|0,429405216457741
6|0,5|1|14|8|0,420910914449687
7|0,6|1|11|6|0,609072834613943
8|0,7|1|10|5|0,574751279951028
9|0,8|1|9|4|0,642304834777366
10|0,9|1|8|3|0,710222121886862
11|1|1|7|3|0,752254047829746

